"","variable","missingValues","class","distinctValues","perMissingValues","sampleValue","nonMissingValues","missingPercentage","minimum","mean","maximum","stdDeviation","variance","p01","p05","p10","p25","p50","p75","p90","p95","p99","numOutliers"
"1","AG.AGR.TRAC.NO",3608,"numeric",1427,66.57,"2650",1812,66.57,1,188768.621412804,4592545,532208.315644544,283245691241.203,6,46.55,93,1271,18457.5,110850,466536.600000003,1125084.65,2121890,235
"2","AG.CON.FERT.PT.ZS",4478,"numeric",938,82.62,NA,942,82.62,0,1478.29701573717,116141.245136187,10043.8776529571,100879478.307571,0.321685540180025,3.41624782149299,10.4143842211497,29.2712743000598,111.290293742612,229.95419468981,436.332267363302,1397.73660583942,63590.2130647133,77
"3","AG.CON.FERT.ZS",3523,"numeric",1882,65,"525.422867513612",1897,65,0,256.442843704326,16532.3076923077,1043.88942930311,1089705.14061078,0.245375432825239,1.75940145985402,4.42632807822144,17.4850706478272,81,187.316171942357,377.443596730245,727.03619047619,3043.34523809523,162
"4","AG.LND.AGRI.K2",729,"numeric",3114,13.45,"5570",4691,13.45,3,239761.783095289,5236830,653256.14781703,426743594660.745,10,40,100,2356,31280,172791,442260,1184690,4150802,499
"5","AG.LND.AGRI.ZS",732,"numeric",3363,13.51,"16.8831168831169",4688,13.51,0.448717948717949,38.1308449726908,85.4873728716718,22.3016836360793,497.365093003765,0.993196605374823,3.35503705130943,7.91669676176719,19.3776311057519,38.9087775914107,55.9186872585038,70.243089871521,74.68921575653,80.8418888304825,0
"6","AG.LND.ARBL.HA",755,"numeric",2415,13.93,"34683000",4665,13.93,80,6838481.40407288,185676000,21201230.2060817,449492162251271,400,1000,2500,64000,1059000,3950000,13985000,30238000,130427199.999999,593
"7","AG.LND.ARBL.HA.PC",760,"numeric",4658,14.02,"0.849873478785613",4660,14.02,0.000105571938756422,0.222183370614255,2.69791368962561,0.278230732494936,0.0774123405046688,0.00102717071135857,0.0100250372008288,0.0193068457940256,0.0555228673399347,0.154549795772852,0.286309562223621,0.448221024345025,0.603557718942082,1.58712543673821,208
"8","AG.LND.ARBL.ZS",755,"numeric",3004,13.93,"22.2262773722628",4665,13.93,0.00146327187591455,13.9161371985974,72.0980256587539,13.3783321927366,178.979772259213,0.0889610981557552,0.54086856485476,1.11972437553833,3.15777540789507,10.1736972704715,19.6765498652291,33.7927086061008,41.0357327809425,56.1306118451852,186
"9","AG.LND.CREL.HA",1185,"numeric",3993,21.86,"3510",4235,21.86,0,3884803.34096812,102402400,11697181.2410515,136824048986007,0,118.5,1147,100487.5,684023,2343784.5,9403990,14997770,82957002.7999999,682
"10","AG.LND.CROP.ZS",1008,"numeric",2208,18.6,NA,4412,18.6,0.000643682896058086,4.58837246161732,66.6666666666667,8.2506125274207,68.0726070776314,0.00352901734512025,0.0281893930136901,0.108200658365639,0.339828404604293,1.40289346777729,4.66848628523555,12.316715542522,18.5185185185185,44.4444444444444,515
"11","AG.LND.EL5M.ZS",5066,"numeric",169,93.47,NA,354,93.47,0,5.13125491948588,55.879363166,10.5986336207712,112.331034627342,0,0,0.0758092282000001,0.528235978,1.534015255,3.551398449,12.0518513221,30.3325891649999,55.068648803,52
"12","AG.LND.FRST.K2",215,"numeric",3904,3.97,"46290",5205,3.97,0,194061.178194044,8151356,757107.7518749,573212147949.065,0,10,91.7,1450,19698,97118,295724.4,662964.8,3481298.16,596
"13","AG.LND.FRST.ZS",238,"numeric",4009,4.39,"24.3687865497076",5182,4.39,0,32.2416193306628,98.8852564102564,24.30215558187,590.594765925415,0,0.287892532583034,1.45256916996047,10.9082771417192,31.2757838404158,49.9705882352941,66.6666666666667,74.1290023406793,90.9625714285715,0
"14","AG.LND.IRIG.AG.ZS",4715,"numeric",690,86.99,"1.10749185667752",705,86.99,0,9.77219378229586,56.9207195959367,11.971128383219,143.307914767512,0.00295408455950847,0.0753217959846806,0.422974735424001,1.2334847617419,5.24530587522714,12.8488391855604,29.4679060434817,35.0827366908827,52.8748080707979,54
"15","AG.LND.PRCP.MM",4293,"numeric",173,79.21,NA,1127,79.21,51,1135.74889086069,3240,789.579984764768,623436.552341131,56,111,216,536.5,1020,1651,2330,2666,3184.92,0
"16","AG.LND.TOTL.K2",113,"numeric",476,2.08,"5130",5307,2.08,2,610991.796928585,16389950,1765734.66807512,3117818918042.34,20,180,440,10230,94280,446300,1246700,2376000,9161920,627
"17","AG.LND.TRAC.ZS",3625,"numeric",1685,66.88,"271.500757958565",1795,66.88,0.0929633867276888,428.123179938677,6600.46242774566,771.582370792713,595339.354918104,0.308703995648255,1.95981731229077,6.34802431610942,46.4801601113818,153.388596656021,480,1136.56644125105,1711.36893691181,4421.6913374792,183
"18","AG.PRD.CREL.MT",1185,"numeric",4048,21.86,NA,4235,21.86,0,12563589.2883117,557407200,47921723.544493,2296491587474818,0,299.7,2000,159761.5,1349658,5130327.5,26470401.8,45399350,331959174.019998,723
"19","AG.PRD.CROP.XD",934,"numeric",3354,17.23,"154.41",4486,17.23,11.45,96.9620441373161,405.81,26.2196481159757,687.469947325588,42.6915,59.65,67.765,82.4825,96.715,107.4525,123.575,137.205,171.643,211
"20","AG.PRD.FOOD.XD",888,"numeric",3295,16.38,"101.7",4532,16.38,7.29,97.2583671668138,420.46,23.2751544530397,541.732814812852,48.3455,62.283,69.893,85.05,97.735,106.6425,121.073,133.7915,166.9633,258
"21","AG.PRD.LVSK.XD",911,"numeric",3213,16.81,NA,4509,16.81,4.3,97.5393501885119,483.78,23.5832447448724,556.169432696551,47.1256,60.59,70.034,85.38,98.71,106.77,121.66,132.884,167.0484,253
"22","AG.SRF.TOTL.K2",108,"numeric",352,1.99,"1098580",5312,1.99,2,631213.103501506,17098250,1840097.28121139,3385958004321.55,20,180,440,11300,100266,462840,1246700,2381740,9831510,627
"23","AG.YLD.CREL.KG",1229,"numeric",3953,22.68,NA,4191,22.68,35.7,2852.18680505846,74205.6,3040.2991450527,9243418.89140819,291.13,601.8,811.4,1335.35,2266.3,3643.75,5541.3,6588,9011.39000000001,147
"24","BG.GSR.NFSV.GD.ZS",3825,"numeric",1596,70.57,NA,1595,70.57,0.815384302042152,26.157272114048,253.12844232281,28.6391081238424,820.198514129133,3.9106472650822,5.53636601539955,6.71919855645044,11.8048874823751,18.1775917802076,29.1444846267016,48.2815018422963,77.8284246619651,187.627746728778,127
"25","BM.GSR.CMCP.ZS",3845,"numeric",1576,70.94,NA,1575,70.94,-8.27748641427058,31.6035242050572,162.921508678804,17.0647115062164,291.204378790394,4.68428640414524,9.51886811277599,13.1703088308087,19.1593366831846,28.9721652057146,40.9273520165517,53.5760078790881,62.2051858165023,83.3251091537728,35
