"","pred.ind","pred.var","avg.rank","avg.pval","country.count"
"279","SL.GDP.PCAP.EM.KD","GDP per person employed (constant 1990 PPP $)",1,0,174
"675","SH.STA.OWGH.ZS","Prevalence of overweight (% of children under 5)",219,0.00214878507445139,1
"669","SH.STA.ANVC.ZS","Pregnant women receiving prenatal care (%)",289,0.00255427806154617,1
"470","SH.STA.STNT.ZS","Malnutrition prevalence, height for age (% of children under 5)",256,0.00576797351743422,1
"471","SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)",297,0.0138490074644994,1
"274","NY.GDP.PCAP.KN","GDP per capita (constant LCU)",43.3333333333333,0.0166533833601648,171
"273","NY.GDP.PCAP.KD","GDP per capita (constant 2000 US$)",42.6147058823529,0.0166913590299004,170
"277","NY.GDP.PCAP.PP.KD","GDP per capita, PPP (constant 2005 international $)",42.387573964497,0.0167901203743046,169
"824","SP.MTR.1519.ZS","Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)",235,0.0211001869525312,1
"268","NY.GDP.MKTP.KN","GDP (constant LCU)",62.3479532163743,0.036002194929901,171
"267","NY.GDP.MKTP.KD","GDP (constant 2000 US$)",62.2147058823529,0.0362104020953857,170
"282","NY.GDP.MKTP.PP.KD","GDP, PPP (constant 2005 international $)",62.2485207100592,0.0364246512154065,169
"298","NY.GNP.PCAP.KN","GNI per capita (constant LCU)",83.2993197278912,0.0373151773348774,147
"344","NY.GDP.FCST.KN","Gross value added at factor cost (constant LCU)",83.6118881118881,0.043081473987941,143
"297","NY.GNP.PCAP.KD","GNI per capita (constant 2000 US$)",87.1632653061225,0.0441659472476716,147
"343","NY.GDP.FCST.KD","Gross value added at factor cost (constant 2000 US$)",85.4784172661871,0.0450160668862902,139
"125","SH.MED.CMHW.P3","Community health workers (per 1,000 people)",178,0.0474804450945571,1
"293","NY.GNP.MKTP.KN","GNI (constant LCU)",101.360544217687,0.0520341674238079,147
"292","NY.GNP.MKTP.KD","GNI (constant 2000 US$)",106.333333333333,0.0564699388487753,147
"661","SI.POV.DDAY","Poverty headcount ratio at $1.25 a day (PPP) (% of population)",238.666666666667,0.060803791531922,6
"657","SI.POV.GAP2","Poverty gap at $2 a day (PPP) (%)",245,0.06197041331854,6
"317","NY.GDY.TOTL.KN","Gross domestic income (constant LCU)",105.797385620915,0.0653655566149371,153
"338","NY.GNY.TOTL.KN","Gross national income (constant LCU)",134.666666666667,0.07204966846416,42
"283","NY.GDP.MKTP.PP.CD","GDP, PPP (current international $)",120.07100591716,0.0726314875722012,169
"301","NY.GNP.PCAP.PP.CD","GNI per capita, PPP (current international $)",113.590361445783,0.0770786616668789,166
"662","SI.POV.2DAY","Poverty headcount ratio at $2 a day (PPP) (% of population)",250.5,0.0801046593380718,6
"243","NE.CON.TOTL.KN","Final consumption expenditure (constant LCU)",145.673333333333,0.08117942453247,150
"278","NY.GDP.PCAP.PP.CD","GDP per capita, PPP (current international $)",108.215976331361,0.081512055734884,169
"370","NE.CON.PRVT.PP.KD","Household final consumption expenditure, PPP (constant 2005 international $)",148.153846153846,0.0819380630376876,143
"303","NY.GNP.MKTP.PP.CD","GNI, PPP (current international $)",130.210843373494,0.0863065759147692,166
"359","NE.CON.PRVT.KN","Household final consumption expenditure (constant LCU)",150.97972972973,0.0866439672118775,148
"242","NE.CON.TOTL.KD","Final consumption expenditure (constant 2000 US$)",148.19,0.08702195402047,150
"358","NE.CON.PRVT.KD","Household final consumption expenditure (constant 2000 US$)",151.090604026846,0.088683738596982,149
"518","IT.CEL.SETS.P2","Mobile cellular subscriptions (per 100 people)",174.684523809524,0.090258032627113,168
"794","AG.SRF.TOTL.K2","Surface area (sq. km)",239.040540540541,0.090438381405793,37
"289","NE.CON.GOVT.CD","General government final consumption expenditure (current US$)",178.450920245399,0.0916578526329164,163
"517","IT.CEL.SETS","Mobile cellular subscriptions",172.214285714286,0.0928962594500174,168
"270","NY.GDP.MKTP.CD","GDP (current US$)",161.783625730994,0.0942050283444299,171
"334","NE.DAB.TOTL.KN","Gross national expenditure (constant LCU)",141.211038961039,0.0958578403367316,154
